"TICKER","NAME","EXCHANGE","SECTOR","MARKETCAP","GEO","ASSET_CLASS_HASH"
"BF-B","Brown-Forman Corporation (Class B)","NYSE","Consumer","Large Cap","US","73944c77c9662e79dae39a1e5d3f4867"
"BKNG","Booking Holdings Inc.","NASDAQ","Consumer","Large Cap","US","73944c77c9662e79dae39a1e5d3f4867"
"CAG","Conagra Brands","NYSE","Consumer","Large Cap","US","73944c77c9662e79dae39a1e5d3f4867"
"CHD","Church & Dwight Co.","NYSE","Consumer","Large Cap","US","73944c77c9662e79dae39a1e5d3f4867"
"CL","Colgate-Palmolive Company","NYSE","Consumer","Large Cap","US","73944c77c9662e79dae39a1e5d3f4867"
"COST","Costco Wholesale Corporation","NASDAQ","Consumer","Large Cap","US","73944c77c9662e79dae39a1e5d3f4867"
"DG","Dollar General Corporation","NYSE","Consumer","Large Cap","US","73944c77c9662e79dae39a1e5d3f4867"
"DIS","The Walt Disney Company","NYSE","Consumer","Large Cap","US","73944c77c9662e79dae39a1e5d3f4867"
"DLTR","Dollar Tree","NASDAQ","Consumer","Large Cap","US","73944c77c9662e79dae39a1e5d3f4867"
"EA","Electronic Arts Inc.","NASDAQ","Consumer","Large Cap","US","73944c77c9662e79dae39a1e5d3f4867"
"EBAY","eBay Inc.","NASDAQ","Consumer","Large Cap","US","73944c77c9662e79dae39a1e5d3f4867"
"F","Ford Motor Company","NYSE","Consumer","Large Cap","US","73944c77c9662e79dae39a1e5d3f4867"
"GM","General Motors Company","NYSE","Consumer","Large Cap","US","73944c77c9662e79dae39a1e5d3f4867"
"HD","The Home Depot","NYSE","Consumer","Large Cap","US","73944c77c9662e79dae39a1e5d3f4867"
"KO","The Coca-Cola Company","NYSE","Consumer","Large Cap","US","73944c77c9662e79dae39a1e5d3f4867"
"LOW","Lowe's Companies","NYSE","Consumer","Large Cap","US","73944c77c9662e79dae39a1e5d3f4867"
"MCD","McDonald's Corporation","NYSE","Consumer","Large Cap","US","73944c77c9662e79dae39a1e5d3f4867"
"NFLX","Netflix","NASDAQ","Consumer","Large Cap","US","73944c77c9662e79dae39a1e5d3f4867"
"PDD","Pinduoduo Inc.","NASDAQ","Consumer","Large Cap","US","73944c77c9662e79dae39a1e5d3f4867"
"PEP","PepsiCo","NASDAQ","Consumer","Large Cap","US","73944c77c9662e79dae39a1e5d3f4867"
"PG","Procter & Gamble Company","NYSE","Consumer","Large Cap","US","73944c77c9662e79dae39a1e5d3f4867"
"PM","Philip Morris International Inc.","NYSE","Consumer","Large Cap","US","73944c77c9662e79dae39a1e5d3f4867"
"SBUX","Starbucks Corporation","NASDAQ","Consumer","Large Cap","US","73944c77c9662e79dae39a1e5d3f4867"
"TM","Toyota Motor Corporation","NYSE","Consumer","Large Cap","US","73944c77c9662e79dae39a1e5d3f4867"
"WMT","Walmart Inc.","NYSE","Consumer","Ultra Large Cap","US","baedcde5aa5e4be9c65a67fc5843641e"
"ATO","Atmos Energy Corporation","NYSE","Energy","Large Cap","US","f97e0808b395601cc6a9ac325e6abafb"
"DTE","DTE Energy Company","NYSE","Energy","Large Cap","US","f97e0808b395601cc6a9ac325e6abafb"
"DUK","Duke Energy Corporation","NYSE","Energy","Large Cap","US","f97e0808b395601cc6a9ac325e6abafb"
"ED","Consolidated Edison","NYSE","Energy","Large Cap","US","f97e0808b395601cc6a9ac325e6abafb"
"EIX","Edison International","NYSE","Energy","Large Cap","US","f97e0808b395601cc6a9ac325e6abafb"
"ES","Eversource Energy","NYSE","Energy","Large Cap","US","f97e0808b395601cc6a9ac325e6abafb"
"ETR","Entergy Corporation","NYSE","Energy","Large Cap","US","f97e0808b395601cc6a9ac325e6abafb"
"EXC","Exelon Corporation","NASDAQ","Energy","Large Cap","US","f97e0808b395601cc6a9ac325e6abafb"
"FE","FirstEnergy Corp.","NYSE","Energy","Large Cap","US","f97e0808b395601cc6a9ac325e6abafb"
"NEE","NextEra Energy","NYSE","Energy","Large Cap","US","f97e0808b395601cc6a9ac325e6abafb"
"SO","The Southern Company","NYSE","Energy","Large Cap","US","f97e0808b395601cc6a9ac325e6abafb"
"XEL","Xcel Energy Inc.","NASDAQ","Energy","Large Cap","US","f97e0808b395601cc6a9ac325e6abafb"
"XOM","Exxon Mobil Corporation","NYSE","Energy","Ultra Large Cap","US","8ac63dd6a49d3e867caa0d503bc4d47a"
"META","Meta Corporation","NYSE","Technology","Ultra Large Cap","US","2358879c74a56fb2c65196ff2f8516e4"
"TSLA","Tesla","NASDAQ","Technology","Ultra Large Cap","US","2358879c74a56fb2c65196ff2f8516e4"
"Snow","Snowflake Computing","NYSE","Technology","Large Cap","US","28ad1f346ba4aac7c8d306f020a427cb"
